Unnamed: 0,id,title
0,tt0062622,2001: A Space Odyssey
1,tt0064816,The Swimming Pool
2,tt0088178,Stop Making Sense
3,tt0145487,Spider-Man
4,tt0359950,The Secret Life of Walter Mitty
5,tt0369610,Jurassic World
6,tt0435651,The Giver
7,tt0437086,Alita: Battle Angel
8,tt0439572,The Flash
9,tt0448115,Shazam!
10,tt0451279,Wonder Woman
11,tt0455944,The Equalizer
12,tt0478970,Ant-Man
13,tt0490215,Silence
14,tt0493405,CHIPS
15,tt0783640,The Last Full Measure
16,tt0787474,The Boxtrolls
17,tt0790636,Dallas Buyers Club
18,tt0810819,The Danish Girl
19,tt0816442,The Book Thief
20,tt0816692,Interstellar
21,tt0831387,Godzilla
22,tt0837563,Pet Sematary
23,tt0859635,Super Troopers 2
24,tt0864835,Mr. Peabody & Sherman
25,tt0870154,Jungle Cruise
26,tt0884726,Legends of Oz: Dorothy's Return
27,tt0884732,The Wedding Ringer
28,tt0903657,Love & Mercy
29,tt0918940,The Legend of Tarzan
30,tt0974015,Justice League
31,tt0993846,The Wolf of Wall Street
32,tt10011448,Linda Ronstadt: The Sound of My Voice
33,tt10016180,The Little Things
34,tt10039344,Countdown
35,tt10059518,Unhinged
36,tt10098448,Jesus Revolution
37,tt10160976,The Nun II
38,tt10195452,American Skin
39,tt1020072,Selma
40,tt1025100,Gemini Man
41,tt1029360,Poltergeist
42,tt10298810,Lightyear
43,tt10298840,Strange World
44,tt10314450,Becky
45,tt10327252,The Forever Purge
46,tt10341196,Gigi & Nate
47,tt10342730,Spiral
48,tt10362466,After We Collided
49,tt10366206,John Wick: Chapter 4
50,tt10370710,The Worst Person in the World
51,tt10403420,Terrifier 2
52,tt1043726,The Legend of Hercules
53,tt10473036,The Amazing Maurice
54,tt10515926,Half Brothers
55,tt1051904,Goosebumps
56,tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes
57,tt10633456,Minari
58,tt10638522,Talk to Me
59,tt10648342,Thor: Love and Thunder
60,tt10655524,It Ends with Us
61,tt10661180,The Last Shift
62,tt10665338,Halloween Kills
63,tt10676048,The Marvels
64,tt10720352,Arthur the King
65,tt1072748,Winchester
66,tt10731256,Don't Worry Darling
67,tt1082807,The Belko Experiment
68,tt1083452,Eddie the Eagle
69,tt10838180,The Matrix Resurrections
70,tt10855768,Missing
71,tt1086064,Bill & Ted Face the Music
72,tt1086772,Blended
73,tt10872600,Spider-Man: No Way Home
74,tt1091191,Lone Survivor
75,tt10919380,Freaky
76,tt10944596,Here Today
77,tt10954600,Ant-Man and the Wasp: Quantumania
78,tt10954652,Old
79,tt10954984,Nope
80,tt11003218,Pig
81,tt11020728,Long Weekend
82,tt11032374,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train
83,tt11057302,Madame Web
84,tt11083552,Wrath of Man
85,tt11084896,Spirit Untamed
86,tt1109624,Paddington
87,tt11125620,The Addams Family 2
88,tt11128440,Clerks III
89,tt11138512,The Northman
90,tt11145118,Creed III
91,tt11152168,IF
92,tt11169050,Supernova
93,tt11214590,House of Gucci
94,tt11229780,Infidel
95,tt11245972,Scream
96,tt11252248,Dog
97,tt1126590,Big Eyes
98,tt11271038,Licorice Pizza
99,tt11285280,Together Together
100,tt11304740,Wish
101,tt11349958,Merci pour tout
102,tt1137450,Death Wish
103,tt11389872,Kingdom of the Planet of the Apes
104,tt11422728,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)"
105,tt11466222,Jackass Forever
106,tt11535358,Family Camp
107,tt1160419,Dune: Part One
108,tt11614912,She Dies Tomorrow
109,tt1170358,The Hobbit: The Desolation of Smaug
110,tt11729298,American Underdog
111,tt11762114,Mean Girls
112,tt11790780,The Alpinist
113,tt1179933,10 Cloverfield Lane
114,tt11813216,The Banshees of Inisherin
115,tt11832046,PAW Patrol: The Movie
116,tt11858890,The Creator
117,tt1200263,The Color Purple
118,tt12003946,Violent Night
119,tt1204977,Ouija
120,tt1205537,Jack Ryan: Shadow Recruit
121,tt1206885,Rambo: Last Blood
122,tt1211837,Doctor Strange
123,tt1212428,The Lost City of Z
124,tt1213641,First Man
125,tt12193804,Whitney Houston: I Wanna Dance with Somebody
126,tt1219827,Ghost in the Shell
127,tt12261776,65
128,tt1226837,Beautiful Boy
129,tt1229340,Anchorman 2: The Legend Continues
130,tt1230168,Same Kind of Different as Me
131,tt1234721,RoboCop
132,tt12412888,Sonic the Hedgehog 2
133,tt1253863,300: Rise of an Empire
134,tt1255919,Holmes & Watson
