id,approximation,detail_level_1,detail_level_2,detail_level_3,detail_level_4
tt0062622,"[ 3.95020829  5.1060899   4.00272701  0.59694569  0.60221844  1.31926076
 -0.13053772  0.23369993  1.45264577  1.52140039  0.5333072  -0.41897302
 -1.13899104 -1.41985655 -0.60941862  0.55747834  0.01099134 -1.40335961
 -1.48934204 -1.09649578 -1.33382191 -0.2969166   1.17914124  1.11534614
 -0.18770273 -0.58780555  0.04816165 -0.75272267 -0.18044616  0.61490437
  0.7846244   0.47066062 -0.3949585   0.0639277  -0.32051348 -0.2569272
 -0.54301325  0.50109642 -0.47274467 -0.80383184 -0.78707388 -1.0547836
 -1.11628166 -1.18289586 -1.08375764 -0.96916661 -1.23066387 -1.27535177
 -1.18028558 -0.94619619]","[-0.43915253 -0.07220018  1.28362842  0.11600058 -0.3522304   0.50942111
 -0.01748884 -0.31793139 -0.11156312  0.24432166  0.27548834  0.19858966
  0.1418945  -0.14523565 -0.36063548  0.07037299  0.32315194  0.10117423
 -0.17097296  0.0961625   0.04291291 -0.35092526 -0.39874548  0.18313684
  0.40532337 -0.00156616 -0.20997045  0.29522201 -0.32038505 -0.17572366
  0.00161837  0.30900426 -0.20934399  0.14638418 -0.09532721  0.2589392
 -0.42537028  0.23596878  0.14607094 -0.03602178  0.09402208  0.06802374
 -0.00266248  0.02302262 -0.04740258 -0.02323144  0.09751984 -0.0180631
 -0.02907845 -0.07188695]",,,
tt0064816,"[ 1.57629794  3.05649976  3.15619721  1.85097457 -0.07074449  0.47962608
  0.23852104  0.11339058  0.80516875  0.42062147 -0.34338648 -0.52345226
 -0.47462086 -0.37695806 -0.62111506 -0.64654809 -0.91410347 -1.38715765
 -1.08501337 -0.85916814 -0.84390833 -1.02702608  0.11135594 -0.33829987
 -0.73810696 -1.07077087 -1.34239554 -1.36579392  0.10321737  3.97717512
  1.82045495  0.5538905   1.98729556 -0.79202496 -0.63027095  0.58847941
  1.14800587  2.91407485  0.19375893 -1.79103403 -1.46956064 -1.1552085
 -1.31085859 -1.01176627  0.76752788  1.19175067 -0.92325935 -1.22540364
 -1.30882395 -1.40750407]","[-0.5076431  -0.09562816  0.21363738  0.6297216  -0.17497918  0.03560623
  0.13428635 -0.29604036  0.03967551  0.24517432  0.06103925  0.00712125
 -0.06612585  0.08240299  0.00101732  0.0244157   0.16378865 -0.07731638
 -0.08240299 -0.0050866  -0.00406928  0.05696997 -0.37132211  0.27772859
  0.03255427  0.09664548  0.05696997 -0.01322517 -0.63582552 -0.87998252
  0.76197331 -0.69381281  0.70907262  0.09664548 -0.40285905  0.18311775
 -1.0010437   0.61242714  0.91151947 -0.06612585 -0.13326903 -0.06103925
  0.0783337  -0.12309582 -0.48627936  0.02339838  0.62463499 -0.12513046
  0.06205657  0.01424249]",,,
tt0088178,"[ 3.39455204e+00  2.61528439e+00  2.05802573e+00  4.22828417e-01
  5.14623411e-01  5.03163701e-01  1.54785965e+00  3.13025295e+00
  1.85077418e+00 -3.31594256e-01 -1.99888869e+00 -1.87831642e+00
 -1.58867309e+00 -6.23330665e-01  5.18431739e-01  1.27493317e+00
  3.92266523e-01 -2.28691264e-01 -2.45353037e-01 -1.23936836e-01
  3.36579098e-02  8.17363321e-02  4.16605272e-01  2.56474565e-01
 -1.66920170e-02  1.23332873e-01  1.48880260e-01 -3.16180720e-02
 -1.14228780e-01  5.46588761e-02  6.09787431e-02  3.31150970e-02
  4.10715490e-02  1.37169382e-01  4.10074461e-02  2.87349674e-02
  4.10182402e-02  8.56340349e-02  2.64229340e-02 -4.85507168e-02
 -2.63418252e-02  5.65492253e-02  5.05580704e-02 -1.07075830e-04
  8.23397347e-02  2.75303007e-02 -8.46430616e-02 -7.30492390e-02
 -4.76016472e-03 -3.09752606e-02]","[ 2.23050104e-01  3.94821120e-02  4.40483997e-01 -3.41371798e-02
  2.50456629e-02 -4.86616113e-02 -9.12436373e-01  2.68561724e-01
  5.56884061e-01  6.48419734e-01 -2.45784293e-02 -3.76983804e-02
 -1.28582084e-01 -2.64604945e-01 -3.92870130e-01  1.65279410e-01
  2.45526812e-01  2.13862458e-02 -2.79485736e-02 -3.45542307e-02
 -6.86548530e-02 -4.37330682e-03 -7.42672966e-02  7.94405917e-02
  6.94654828e-02 -6.08774717e-02  8.04626745e-03  5.64047773e-02
  3.67000752e-04 -4.30688213e-02  1.32957326e-02  1.61808228e-02
 -5.12912573e-02  2.68926827e-02  8.79895504e-03  3.37927857e-04
 -1.73892573e-02  5.52593765e-03  3.25357775e-02 -3.51420531e-04
 -2.94938158e-02 -1.28687021e-02  3.89368042e-03  1.45311015e-02
 -1.36781099e-02  2.24212103e-02  2.30018027e-02 -1.30854505e-02
 -1.54519638e-02  1.59167228e-02]",,,
tt0145487,"[ 3.68293329 -0.20942076 -0.16461742 -0.37762788 -0.81672657 -0.81906592
  0.90803047  3.71434164 -0.7717411  -0.83882391 -1.30472823 -1.88534007
 -1.46685779  1.63898929  3.82499312 -0.57320347 -0.71804109 -1.14445412
 -1.67555472 -1.31224552  0.27802684  3.18776814  0.81359847 -0.29516245
 -0.56403204 -1.00692148 -1.06265843 -0.30518698  2.91177739  0.5684883
 -0.46556638 -0.62355495 -0.8516747  -1.09402819 -0.33939176  0.89259438
  1.56329876 -0.0991524  -0.21397805 -0.39299608 -0.56667997 -0.42935654
  0.15229272  1.59412309  0.30708541 -0.29689522 -0.39731465 -0.55552816
 -0.55534839 -0.14938394]","[ 1.15429493 -0.01537525  0.01275552  0.16858376 -0.00302567  0.01112341
 -1.75688437  1.67718314 -0.00993046  0.07711933  0.21966296 -0.02402982
 -0.30896288 -1.73940192  1.50608208  0.02998837  0.05208062  0.20134389
 -0.0049322  -0.30760003 -0.27084791 -0.67759203  0.95291828  0.07794443
  0.06171613  0.10623316 -0.02540813 -0.33694849 -0.6802133   0.87798156
  0.03146031  0.04400147  0.10608407 -0.0228013  -0.33337902 -0.56750285
  0.64617194  0.03032621  0.02331729  0.08197372 -0.00298167 -0.11229627
 -0.0889428  -0.36133728  0.52133663  0.02993925  0.02093612  0.03649452
 -0.01513895 -0.17997263]",,,
tt0359950,"[ 5.15159731  3.1321461   3.02327429  2.86784392  1.89180223  1.56219754
  2.09801736  2.18261087  0.89331791  1.61949745  1.68297297  0.30112948
 -0.31814372 -0.24581288 -0.41485228 -0.29578227  0.32434233  0.51176359
 -0.25732965 -0.69943233 -0.65527951 -0.69993467 -0.72729861 -0.66248324
 -0.48577381 -0.62610899 -0.66561794 -0.81617563 -0.88339109 -0.88437144
 -0.84217021 -0.78719441 -0.74725997 -0.8600697  -0.92148986 -0.91822535
 -0.92671726 -0.90541605 -0.84827983 -0.83680301 -0.92826768 -0.93782895
 -0.93805906 -0.93913406 -0.93759189 -0.92218193 -0.89617259 -0.91557778
 -0.94566787 -0.95061783]","[ 6.68103334e-01  5.49406275e-02 -5.00479758e-02  2.99152937e-01
  1.57906437e-01 -9.48737656e-02 -1.77654619e-01  3.78189516e-01
 -1.87093455e-01 -1.36372517e-01  3.42354500e-01  2.43768154e-01
 -4.48713775e-02  5.25526974e-02  1.17086726e-02 -1.56047325e-01
 -1.50213829e-01  2.63368719e-01  1.49547813e-01 -2.18052752e-02
 -7.54672747e-03  1.52584392e-02  4.40855314e-03 -2.04372084e-02
 -4.24035603e-02  5.44617390e-02 -5.84478456e-03  5.92901337e-02
  2.59459460e-03 -5.74839902e-04 -1.15341366e-02 -2.37842180e-02
  2.93315967e-02  2.20336482e-02 -2.74872464e-03  3.21806144e-03
 -1.09106697e-03 -1.69503962e-02 -1.38109194e-02  3.13834800e-02
  3.36828396e-03  2.22468252e-03 -6.92065562e-04  6.80777165e-04
 -6.62542062e-04 -5.28600892e-03 -8.18886359e-03  9.97720615e-03
  5.82698363e-03 -3.03050039e-04]",,,
tt0369610,"[ 5.74469532e+00  4.66707199e+00  3.06484341e+00  1.11565982e+00
  9.48457438e-01  6.24494784e-01  7.28878057e-01  1.67291090e+00
  2.31413493e+00  1.68713082e+00 -2.39066914e-02 -5.27228562e-03
 -2.54242373e-01 -1.63617841e-01  3.80817486e-01  7.57315257e-01
  2.11446398e-01 -4.74514954e-01 -4.45219506e-01 -5.20145923e-01
 -4.68942450e-01 -1.18299640e-01 -2.52481301e-01 -2.97643552e-01
 -6.01247506e-01 -6.52550744e-01 -7.12674201e-01 -7.67409348e-01
 -6.37282835e-01 -4.51397099e-01 -5.41935512e-01 -6.64933610e-01
 -8.58502122e-01 -8.31579289e-01 -8.75013434e-01 -8.61758544e-01
 -7.39690994e-01 -6.70474491e-01 -8.11850240e-01 -9.33189371e-01
 -9.18687266e-01 -9.42352204e-01 -9.49261725e-01 -9.01917163e-01
 -8.23682125e-01 -8.54134596e-01 -9.48810335e-01 -9.69393083e-01
 -9.82776589e-01 -9.91065666e-01]","[ 0.29616364  0.30733447  0.83200167  0.02062854  0.100992    0.03966616
 -0.24431067 -0.21002606  0.01496879  0.57691594 -0.03357161  0.08331807
  0.01256693 -0.12452871 -0.16740442  0.13079247  0.2329949  -0.01961157
  0.0332248  -0.02061242 -0.01053468 -0.08346709  0.0672695  -0.00703212
  0.09884902 -0.0122669   0.02150316  0.01047706 -0.0472636  -0.0357813
  0.01805345  0.06447998 -0.01473638  0.01349401  0.00624682 -0.02936749
 -0.03766908  0.03624326  0.03719071 -0.00746483  0.00900051  0.0037919
  0.00093319 -0.02109557 -0.02192098  0.01981218  0.03055037 -0.00378202
  0.00519606  0.00099808]",,,
tt0435651,"[ 5.33734761  4.54999376  2.59725966  0.73423848  0.83377507  0.33369749
  0.60088821  1.89748812  2.26231446  0.6686132  -0.31817337 -0.21318317
 -0.45120553 -0.19219805  0.78380769  1.52386971  1.50737122  0.76844262
 -0.6809     -0.80216679 -0.79514787 -0.11417958  0.84232066  0.27607847
 -0.69064573 -0.81189145 -0.85049303 -0.86898448 -0.35392385  0.35538485
 -0.06527259 -0.52157377 -0.93653181 -0.89684386 -0.95597831 -0.94058796
 -0.76687207 -0.66707074 -0.93445387 -1.10254129 -1.08400419 -1.08977311
 -1.06994388 -1.04702689 -0.96739678 -1.04111892 -1.14406139 -1.16197701
 -1.16715464 -1.1696153 ]","[ 1.14940282e-01  4.73301068e-01  5.50259147e-01 -1.10508428e-01
  1.50979379e-01  2.28179731e-02 -3.30255628e-01 -2.26525950e-01
  3.77376116e-01  3.98416010e-01 -6.60887658e-02  7.92185982e-02
 -2.95222845e-03 -2.48146599e-01 -1.71184307e-01 -3.48572225e-02
  1.12181170e-01  4.03487607e-01  4.37588514e-02 -2.62919679e-03
 -1.67063546e-03 -2.57666904e-01 -2.39177555e-01  3.55343952e-01
  2.05139849e-01 -2.92947578e-02  2.42758290e-02 -1.65097267e-03
 -1.66112710e-01 -1.41605843e-01  9.38814265e-02  1.66687846e-01
 -2.36339792e-02  1.83489004e-02  6.41920082e-03 -3.37490835e-02
 -5.78746326e-02  6.58493011e-02  5.78760371e-02 -7.06737086e-03
  1.97681329e-03  1.24718309e-03 -6.07229291e-03 -6.59897496e-03
 -2.29022423e-02  3.92890764e-02  2.02786634e-02 -6.43956586e-04
  1.88201052e-03  2.23313189e-04]",,,
tt0437086,"[ 3.82840712  3.83502259  5.32256256  3.61232376  1.59025238  0.63285453
  0.0187837   0.16355993  1.20812127  1.9348456   0.62925725 -0.33338836
 -0.17915802 -0.43541911 -0.32148357  0.24872091  0.76991818  0.07487887
 -0.52630967 -0.43550875 -0.56526729 -0.6684732  -0.5435165  -0.21196362
 -0.32575891 -0.65158306 -0.6673956  -0.71865782 -0.75085011 -0.67226106
 -0.53859392 -0.51716293 -0.6669101  -0.80421721 -0.77924634 -0.82646227
 -0.83208383 -0.75331861 -0.70244377 -0.77720905 -0.85313648 -0.83404166
 -0.85285683 -0.87579098 -0.87122355 -0.82599204 -0.84787148 -0.89672233
 -0.9007494  -0.90648124]","[ 0.15864196 -0.52263624  0.35309697  0.70497439  0.2999886   0.17937425
  0.01590047 -0.20024848 -0.36882326  0.27027018  0.47966257 -0.08223667
  0.07411041 -0.00143501 -0.10996247 -0.21655557  0.13364339  0.24676542
 -0.0482545   0.04939714  0.02600181  0.02509868 -0.0610514  -0.07992821
  0.06788827  0.10319177 -0.03260229  0.02437679  0.00291696 -0.0266663
 -0.01491534  0.03977169  0.03809435 -0.01670097  0.01239424  0.00898528
 -0.01604779 -0.02549086  0.01944092  0.02404256 -0.00867679 -0.00316975
  0.00701557  0.00544569 -0.00324326 -0.01317947  0.01063462  0.01157169
 -0.00298539  0.00264918]",,,
tt0439572,"[ 6.67577206  4.55086224  3.76468866  1.30809057  0.90066039  0.32939397
  0.4144662   0.96084422  1.24388214  0.62803797 -0.07502664  0.04520798
 -0.20869953 -0.29449685 -0.16302409 -0.0449835  -0.11487042 -0.30578925
 -0.36181528 -0.47793723 -0.50389001 -0.48108593 -0.40679234 -0.43414628
 -0.55044252 -0.60066935 -0.63128019 -0.63999564 -0.62788145 -0.59727956
 -0.60323007 -0.62429691 -0.65462103 -0.64817417 -0.66326581 -0.67099092
 -0.6606231  -0.65258371 -0.66096527 -0.6784053  -0.67446287 -0.67808917
 -0.68413789 -0.67258463 -0.66721907 -0.67261574 -0.68339708 -0.68211275
 -0.68428109 -0.68574378]","[ 7.91686391e-01  1.58923065e-02  7.34999521e-01  8.25566479e-02
  1.88245177e-01  1.88731388e-02 -1.50778860e-01 -1.34299922e-01
  1.26590703e-01  2.17636604e-01 -4.85217027e-02  7.43214899e-02
  3.88093150e-02 -2.57969132e-02 -4.53048652e-02  4.23203135e-03
  5.73159359e-02  9.75228541e-03  3.16103140e-02  1.20702410e-02
  4.75442088e-03 -7.20998974e-03 -2.02771663e-02  1.66069150e-02
  3.62015938e-02  5.80663847e-03  9.13454712e-03 -1.48602068e-04
 -4.69846265e-03 -7.95790277e-03  2.28228432e-03  1.31505222e-02
 -2.91219479e-03  3.37101846e-03  3.02292784e-03 -2.77424338e-03
 -2.94786605e-03  7.79865004e-04  6.30400740e-03 -1.89902961e-03
  1.43040056e-03  6.89587980e-04  1.75482305e-03 -4.51030098e-03
 -3.48090623e-04  2.04103841e-03  2.64711169e-03 -1.22719273e-03
  9.55685425e-04  1.72608318e-04]",,,
tt0448115,"[ 5.79292792  5.12724462  2.82886028  0.28218901  0.56028702 -0.01938422
  0.22415863  1.59195786  2.45954741  1.07368628 -0.06067744  0.08270338
 -0.17721987  0.24962435  1.20059217  1.07004155  0.24805852 -0.26232872
 -0.36846622 -0.55739605 -0.64062528 -0.43720343 -0.13959254 -0.25855593
 -0.65614692 -0.70060502 -0.72862504 -0.76241844 -0.68388323 -0.52712131
 -0.56205091 -0.66785099 -0.79270045 -0.77386224 -0.80215442 -0.81247971
 -0.75569971 -0.7237828  -0.79047993 -0.83728462 -0.83247444 -0.83934238
 -0.84525885 -0.8133806  -0.77075058 -0.79934267 -0.84004168 -0.84891185
 -0.85123333 -0.85254716]","[ 6.84339901e-02  4.60715444e-01  8.11086502e-01 -1.38251548e-01
  1.98298370e-01  1.66631301e-02 -3.04412076e-01 -3.58707332e-01
  3.11713276e-01  4.09934382e-01 -1.10346866e-01  1.11229586e-01
 -5.28042811e-02 -2.79138039e-01 -3.61109119e-02  2.34732825e-01
  1.30585163e-01  2.01857509e-02  5.39599810e-02  2.90007303e-02
  1.62992680e-02 -7.96487735e-02 -7.78084776e-02  7.00636030e-02
  1.00335041e-01 -1.84831012e-02  1.72444501e-02  5.20874630e-03
 -2.55660180e-02 -3.76327872e-02  1.63752792e-02  5.01587628e-02
 -7.27211839e-03  6.70567012e-03  6.24943801e-03 -1.12661736e-02
 -1.76527621e-02  1.44118782e-02  2.13093939e-02 -2.98211549e-03
  2.83174562e-03  1.30408685e-03  1.20742051e-03 -1.04462446e-02
 -1.17903200e-02  1.37537209e-02  8.38469021e-03  1.68215968e-04
  8.26703818e-04  1.76808532e-04]",,,
