id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,rating,genre,rating_category
tt0062622,5,5,5,4,3,4,2,3,4,5,4,2,1,0,1,3,3,1,0,1,1,1,4,4,3,2,2,2,2,3,4,4,2,3,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,8.3,"['Adventure', 'Sci-Fi']",High
tt0064816,5,5,5,5,2,3,3,3,4,3,2,2,2,2,1,1,1,0,1,1,1,1,2,2,1,1,1,0,2,5,5,3,5,2,1,3,3,5,4,0,0,1,1,1,2,4,3,0,1,0,7.1,"['Crime', 'Drama', 'Romance']",High
tt0088178,5,5,5,3,3,3,5,5,5,2,0,0,0,0,3,5,3,2,1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8.7,"['Documentary', 'Music']",High
tt0145487,5,2,2,2,1,1,3,5,2,1,1,0,0,4,5,2,1,1,0,0,2,5,5,2,2,1,1,2,5,5,2,2,1,1,1,3,5,3,2,2,2,2,2,4,4,2,2,2,2,2,7.4,"['Action', 'Adventure', 'Sci-Fi']",High
tt0359950,5,5,5,5,5,5,5,5,4,5,5,3,2,2,2,2,3,3,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.3,"['Adventure', 'Comedy', 'Drama']",High
tt0369610,5,5,5,4,4,4,4,5,5,5,3,2,2,2,3,4,3,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.9,"['Action', 'Adventure', 'Sci-Fi']",Medium High
tt0435651,5,5,5,4,4,3,3,5,5,4,2,2,2,2,4,5,5,4,2,1,1,2,4,3,2,1,1,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.4,"['Drama', 'Romance', 'Sci-Fi']",Medium
tt0437086,5,5,5,5,5,4,3,3,4,5,4,2,2,2,2,3,4,3,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.3,"['Action', 'Adventure', 'Sci-Fi']",High
tt0439572,5,5,5,4,4,3,3,4,4,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.6,"['Action', 'Adventure', 'Fantasy']",Medium High
tt0448115,5,5,5,3,3,2,3,5,5,4,2,3,2,3,4,4,3,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.0,"['Action', 'Adventure', 'Comedy']",Medium High
